id,zip,lat,log,flag,city,city_slug,state_id,state,state_slug
15235,36742,32.4643,-87.738,NULL,Gallion,gallion,AL,Alabama,alabama
15236,36744,32.6975,-87.5987,NULL,Greensboro,greensboro,AL,Alabama,alabama
15237,36745,32.3961,-87.9033,NULL,Jefferson,jefferson,AL,Alabama,alabama
15238,36748,32.2756,-87.7848,NULL,Linden,linden,AL,Alabama,alabama
15239,36749,32.5432,-86.8617,NULL,Jones,jones,AL,Alabama,alabama
15240,36750,32.787,-86.8506,NULL,Maplesville,maplesville,AL,Alabama,alabama
15241,36751,31.808,-87.5452,NULL,Lower Peach Tree,lower-peach-tree,AL,Alabama,alabama
15242,36752,32.3001,-86.6215,NULL,Lowndesboro,lowndesboro,AL,Alabama,alabama
15243,36753,31.816,-87.086,NULL,Mc Williams,mc-williams,AL,Alabama,alabama
15244,36754,32.1541,-87.7009,NULL,Magnolia,magnolia,AL,Alabama,alabama
15245,36756,32.6935,-87.2801,NULL,Marion,marion,AL,Alabama,alabama
15246,36758,32.6503,-86.8992,NULL,Plantersville,plantersville,AL,Alabama,alabama
15247,36759,32.4224,-87.2855,NULL,Marion Junction,marion-junction,AL,Alabama,alabama
15248,36761,32.0846,-86.9749,NULL,Minter,minter,AL,Alabama,alabama
15249,36762,31.940191,-88.00336,NULL,Thomasville,thomasville,AL,Alabama,alabama
15250,36763,32.2711,-87.9657,NULL,Myrtlewood,myrtlewood,AL,Alabama,alabama
15251,36764,32.0908,-87.9892,NULL,Nanafalia,nanafalia,AL,Alabama,alabama
15252,36765,32.5828,-87.5228,NULL,Newbern,newbern,AL,Alabama,alabama
15253,36766,31.9551,-87.0868,NULL,Oak Hill,oak-hill,AL,Alabama,alabama
15254,36767,32.2601,-87.1907,NULL,Orrville,orrville,AL,Alabama,alabama
15255,36768,31.908,-87.0217,NULL,Pine Apple,pine-apple,AL,Alabama,alabama
15256,36769,31.9984,-87.5386,NULL,Pine Hill,pine-hill,AL,Alabama,alabama
15257,36773,32.261,-87.3588,NULL,Safford,safford,AL,Alabama,alabama
15258,36775,32.2292,-87.0166,NULL,Sardis,sardis,AL,Alabama,alabama
15259,36776,32.745,-87.7425,NULL,Sawyerville,sawyerville,AL,Alabama,alabama
15260,36782,32.1282,-87.9186,NULL,Sweet Water,sweet-water,AL,Alabama,alabama
15261,36783,32.2472,-87.601,NULL,Thomaston,thomaston,AL,Alabama,alabama
15262,36784,31.9399,-87.8001,NULL,Thomasville,thomasville,AL,Alabama,alabama
15263,36785,32.2527,-86.8367,NULL,Tyler,tyler,AL,Alabama,alabama
15264,36786,32.4397,-87.4881,NULL,Uniontown,uniontown,AL,Alabama,alabama
15265,36790,32.7332,-86.8963,NULL,Stanton,stanton,AL,Alabama,alabama
15266,36792,32.9216,-86.906,NULL,Randolph,randolph,AL,Alabama,alabama
15267,36793,32.8173,-87.0262,NULL,Lawley,lawley,AL,Alabama,alabama
15268,36801,32.6917,-85.3972,NULL,Opelika,opelika,AL,Alabama,alabama
15269,36802,32.6542,-85.3788,NULL,Opelika,opelika,AL,Alabama,alabama
15270,36803,32.6542,-85.3788,NULL,Opelika,opelika,AL,Alabama,alabama
15271,36804,32.5334,-85.3422,NULL,Opelika,opelika,AL,Alabama,alabama
15272,36830,32.5389,-85.4921,NULL,Auburn,auburn,AL,Alabama,alabama
15273,36831,32.577,-85.5208,NULL,Auburn,auburn,AL,Alabama,alabama
15274,36832,32.5962,-85.582,NULL,Auburn,auburn,AL,Alabama,alabama
15275,36849,32.6024,-85.4873,NULL,Auburn University,auburn-university,AL,Alabama,alabama
15276,36850,32.7859,-85.6569,NULL,Camp Hill,camp-hill,AL,Alabama,alabama
15277,36851,32.1485,-85.0703,NULL,Cottonton,cottonton,AL,Alabama,alabama
15278,36852,32.7573,-85.2914,NULL,Cusseta,cusseta,AL,Alabama,alabama
15279,36853,32.8072,-85.7679,NULL,Dadeville,dadeville,AL,Alabama,alabama
15280,36854,32.7538,-85.1844,NULL,Valley,valley,AL,Alabama,alabama
15281,36855,33.0316,-85.3026,NULL,Five Points,five-points,AL,Alabama,alabama
15282,36856,32.2766,-84.999,NULL,Fort Mitchell,fort-mitchell,AL,Alabama,alabama
15283,36858,32.3155,-85.3207,NULL,Hatchechubbee,hatchechubbee,AL,Alabama,alabama
15284,36859,32.2326,-85.0045,NULL,Holy Trinity,holy-trinity,AL,Alabama,alabama
15285,36860,32.2525,-85.4189,NULL,Hurtsboro,hurtsboro,AL,Alabama,alabama
15286,36861,32.8857,-85.8326,NULL,Jacksons Gap,jacksons-gap,AL,Alabama,alabama
15287,36862,32.9044,-85.4418,NULL,Lafayette,lafayette,AL,Alabama,alabama
15288,36863,32.8952,-85.2551,NULL,Lanett,lanett,AL,Alabama,alabama
15289,36865,32.6027,-85.59,NULL,Loachapoka,loachapoka,AL,Alabama,alabama
15290,36866,32.5544,-85.7154,NULL,Notasulga,notasulga,AL,Alabama,alabama
15291,36867,32.4966,-85.0235,NULL,Phenix City,phenix-city,AL,Alabama,alabama
15292,36868,32.4398,-85.0202,NULL,Phenix City,phenix-city,AL,Alabama,alabama
15293,36869,32.4202,-85.0798,NULL,Phenix City,phenix-city,AL,Alabama,alabama
